id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52743609,✈︎Fully-Equipped 2-BR Condo in DT Toronto✈︎,785826,Sky View,,Waterfront Communities-The Island,43.64137,-79.3804,Entire home/apt,155,30,0,,,135,35,0,
52743898,♡Comfortable 1-BR Condo in DT Toronto♡,785826,Sky View,,Waterfront Communities-The Island,43.64919,-79.38797,Entire home/apt,141,30,0,,,135,208,0,
52659316,Cozy room 3/ private room,164469834,Shilling,,Don Valley Village,43.78035,-79.35924,Private room,55,1,37,2022-11-22,2.67,6,308,28,STR-2109-GRHPHG
52659398,♡Comfortable 1+1-BR Condo in DT Toronto♡,785826,Sky View,,Waterfront Communities-The Island,43.6423,-79.38154,Entire home/apt,133,30,1,2022-05-25,0.15,135,80,1,
52659564,♥Centrally-Located 2-BR Condo in DT Toronto♥,785826,Sky View,,Waterfront Communities-The Island,43.64402,-79.38143,Entire home/apt,150,28,1,2022-06-21,0.18,135,44,1,
52744034,♥Fully-Equipped 1-BR Condo in DT Toronto♥,785826,Sky View,,Waterfront Communities-The Island,43.6487,-79.38816,Entire home/apt,133,28,0,,,135,68,0,
52659699,✈︎Fully-Equipped 1+1-BR Condo in DT Toronto✈︎,785826,Sky View,,Waterfront Communities-The Island,43.64227,-79.37977,Entire home/apt,133,30,0,,,135,65,0,
52744214,♡Comfortable 1-BR Condo in DT Toronto♡,785826,Sky View,,Bay Street Corridor,43.64975,-79.38635,Entire home/apt,189,30,0,,,135,25,0,
52744379,✈︎Centrally-Located 1-BR Condo in DT Toronto✈︎,785826,Sky View,,Waterfront Communities-The Island,43.6484,-79.38778,Entire home/apt,133,30,0,,,135,35,0,
52744496,♥Fully-Equipped 1-BR Condo in DT Toronto♥,785826,Sky View,,Waterfront Communities-The Island,43.65044,-79.38772,Entire home/apt,146,30,0,,,135,85,0,
52659804,♡Comfortable 1+1-BR Condo in DT Toronto♡,785826,Sky View,,Waterfront Communities-The Island,43.64195,-79.38093,Entire home/apt,140,30,0,,,135,87,0,
52752144,"Trendy Trinity Bellwoods House, 4 BD,  Parking",9799344,Chloe,,Trinity-Bellwoods,43.64635,-79.40864,Entire home/apt,168,28,4,2022-05-29,0.31,1,123,2,STR-2110-HBQVHJ
52659876,♡Comfortable 2-BR Condo in DT Toronto♡,785826,Sky View,,Waterfront Communities-The Island,43.64409,-79.38138,Entire home/apt,162,30,0,,,135,89,0,
52659935,♥Centrally-Located 2-BR Condo in DT Toronto♥,785826,Sky View,,Waterfront Communities-The Island,43.64379,-79.37975,Entire home/apt,162,30,0,,,135,84,0,
52660019,✈︎Fully-Equipped 2-BR Condo in DT Toronto✈︎,785826,Sky View,,Waterfront Communities-The Island,43.64374,-79.38129,Entire home/apt,150,30,0,,,135,32,0,
52753740,✈︎Fully-Equipped 1+1-BR Condo in DT Toronto✈︎,785826,Sky View,,Waterfront Communities-The Island,43.64833,-79.38834,Entire home/apt,130,30,0,,,135,54,0,
52666109,♥Fully-Equipped 1-BR Condo in DT Toronto♥,785826,Sky View,,Waterfront Communities-The Island,43.648,-79.39121,Entire home/apt,105,30,0,,,135,72,0,
52754065,♥Fully-Equipped 1-BR Condo in DT Toronto♥,785826,Sky View,,Bay Street Corridor,43.64871,-79.38663,Entire home/apt,133,30,0,,,135,35,0,
52666336,♡Comfortable 1-BR Condo in DT Toronto♡,785826,Sky View,,Waterfront Communities-The Island,43.64781,-79.39178,Entire home/apt,110,30,1,2022-01-02,0.09,135,30,1,
52760230,Affordable 1 Person bedroom with free parking,320760036,Mohammed,,Malvern,43.81026,-79.23168,Private room,48,1,5,2021-12-12,0.36,5,188,1,STR-2108-HSLBHL
52765539,C2: 1Bedroom + 1Bath near the Beaches with Wi-Fi,380469342,San (Oi Sze),,Greenwood-Coxwell,43.66862,-79.31838,Entire home/apt,70,28,31,2022-11-01,2.24,3,28,23,STR-2012-HQPHHK
